id,highway,cycleway,name,surface,geometry
way/4437118,residential,track,Olivaer Platz,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3165163, 52.499475], [13.3165072, 52.4993974], [13.3164998, 52.4993431], [13.3164874, 52.4992406], [13.3164789, 52.499191], [13.3164275, 52.4989337], [13.3164185, 52.4988233], [13.3164167, 52.4987996], [13.3164012, 52.4986632]]}"
way/4437141,residential,opposite,Bregenzer Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3126435, 52.4969136], [13.3126699, 52.4969881], [13.3130539, 52.4980745], [13.3130806, 52.4981502], [13.3133961, 52.4990426]]}"
way/4439333,secondary,track,Spanische Allee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.189662, 52.4336877], [13.1897825, 52.4336449], [13.1899153, 52.4336083], [13.1901169, 52.4335661], [13.1902443, 52.4335522], [13.1903692, 52.4335438], [13.190539, 52.4335454], [13.190716, 52.433551], [13.1914383, 52.4336252], [13.1917115, 52.4336533], [13.1919503, 52.4336779], [13.1921326, 52.4336968], [13.192181, 52.4337016], [13.1923976, 52.4337224]]}"
way/4439618,residential,track,Limastraße,sett,"{""type"": ""LineString"", ""coordinates"": [[13.2323467, 52.4376671], [13.2322678, 52.4377041], [13.2321998, 52.4377412], [13.2321488, 52.4377677]]}"
way/4441937,tertiary,no,Chausseestraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.1477764, 52.4182437], [13.1477198, 52.4181282], [13.1477067, 52.4181029], [13.1476872, 52.4180657], [13.1474682, 52.4176473], [13.1470742, 52.4168943], [13.1468987, 52.4166904], [13.1467061, 52.4165012], [13.1463193, 52.4161373], [13.1458942, 52.4157374], [13.1457457, 52.4155977], [13.1454429, 52.4153129], [13.1451528, 52.41504], [13.1450307, 52.4149271], [13.1446733, 52.4145964], [13.1444133, 52.4143559], [13.144215, 52.4141725], [13.1441646, 52.4141259], [13.1440864, 52.4140535]]}"
way/4442087,tertiary,separate,Badensche Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3289915, 52.4862554], [13.3294556, 52.4862193], [13.3297966, 52.4861958], [13.3306128, 52.4861444]]}"
way/4442443,residential,no,Stahnsdorfer Damm,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.1751623, 52.4184644], [13.1745603, 52.4181889], [13.1744033, 52.4181], [13.174301, 52.4179859], [13.1742634, 52.4178245], [13.174254, 52.4177068], [13.1744557, 52.4167372], [13.1746559, 52.4165456], [13.175837, 52.415953], [13.1760958, 52.4158231]]}"
way/4446443,tertiary,track,Paulsborner Brücke,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2946837, 52.4917244], [13.295666, 52.4922229]]}"
way/4446444,residential,track,Auguste-Viktoria-Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2905484, 52.493732], [13.290567, 52.493672], [13.2905976, 52.4935791], [13.2906052, 52.4934405], [13.2906044, 52.4933185], [13.2905701, 52.4930531], [13.2904947, 52.4925201], [13.2904869, 52.4924666], [13.2903637, 52.4916182], [13.2903561, 52.4915663], [13.2903472, 52.4915027], [13.2902278, 52.4906538], [13.2901659, 52.4902132], [13.290048, 52.4893745], [13.2900427, 52.4893364], [13.2900381, 52.4893039], [13.2900272, 52.4892169]]}"
way/4446445,residential,track,Schwarzbacher Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2900838, 52.4943362], [13.2902793, 52.4941616], [13.2903562, 52.4940729], [13.2904206, 52.4939817], [13.2905051, 52.4938244], [13.2905484, 52.493732]]}"
way/4446676,secondary,separate,Osnabrücker Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2972191, 52.5264745], [13.2973976, 52.5264951]]}"
